Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/09/2011;30/09/2012;30/09/2013;30/09/2014;30/09/2015;30/09/2016;30/09/2017;30/09/2018;30/09/2019;30/09/2020;30/09/2021;30/09/2022;30/09/2023;30/09/2024;30/09/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
EBITDAR;25851000;27472000;31734000;36264000;38328000;37075000;40901000;48391000;50742000;26868000;64087000;91292000;89797000;;
EBITDA;22798000;24551000;27986000;31460000;33802000;33782000;37371000;44468000;46564000;22130000;60145000;84586000;82591000;70770000;45345000
EBITA;18894000;19586000;22649000;25144000;26757000;26454000;30451000;37000000;38116000;13903000;52165000;74313000;70968000;55375000;30267000
EBIT;18894000;19586000;22649000;25144000;26757000;26454000;30451000;36746000;37492000;13294000;51907000;72195000;67440000;55375000;30267000
Beneficio neto;7846000;7578000;9191000;11240000;9214000;11218000;8259000;20879000;20294000;-6085000;30336000;46041000;29246000;3011000;10839000
D&A total;3904000;4965000;5337000;6316000;7045000;7328000;6920000;7722000;9072000;8836000;8238000;12391000;15151000;15395000;15078000
Amortización de intangibles;;;;;;;;254000;624000;609000;258000;2118000;3528000;;
Depreciación y amortización;3904000;4965000;5337000;6316000;7045000;7328000;6920000;7468000;8448000;8227000;7980000;10273000;11623000;15395000;15078000
Amortización de cargos diferidos;145000;145000;158000;87000;36000;455000;218000;560000;334000;236000;311000;314000;615000;608000;549000
Otros elementos no monetarios;6314000;2646000;1443000;-2108000;-1882000;4533000;9342000;1764000;4652000;11265000;6557000;7184000;15321000;34199000;5358000
Venta de activos;;332000;18000;279000;808000;1788000;-838000;2162000;-2966000;-777000;-714000;-2970000;-870000;-2215000;-1032000
Beneficios o pérdidas por venta de inversiones;;;;;;-116000;1156000;;612000;64000;168000;;;;
Costes de reestructuración;;;;2294000;1705000;2092000;6483000;5570000;6040000;10615000;13528000;1888000;12629000;38517000;5340000
Retribución en acciones;8000;315000;847000;282000;480000;360000;;;;;;2353000;2588000;1882000;1373000
Operaciones discontinuadas;1091000;;;;;;;;;;;;;;
Otras actividades operativas;5215000;1999000;578000;-4963000;-4875000;409000;2541000;-5968000;966000;1363000;-6425000;5913000;974000;-3985000;-323000
Variación activos operativos;672000;3088000;2231000;4900000;1951000;-503000;-3645000;-5156000;2822000;1380000;-3451000;-1421000;-1203000;2671000;17594000
Var. cuentas por cobrar;-1075000;-80000;331000;-36000;-339000;-3986000;878000;-3622000;457000;-294000;-769000;-175000;-2383000;4283000;1943000
Variación inventario;-91000;-34000;-195000;-407000;54000;-124000;-19000;-199000;-216000;226000;-287000;-554000;177000;-309000;-20000
Var. cuentas por pagar;2144000;4430000;4040000;7599000;1384000;3625000;-2978000;1254000;3262000;-185000;-6515000;-1079000;1369000;1118000;16912000
Var. otros activos;-306000;-1228000;-1945000;-2256000;852000;-18000;-1526000;-2589000;-681000;1633000;4120000;387000;-366000;-2421000;-1241000
Flujo operativo;18881000;18422000;18360000;20435000;16364000;23031000;21094000;25769000;37174000;15632000;41991000;64509000;59130000;55884000;49418000
Gastos de capital (Capex);-11533000;-6898000;-9675000;-16034000;-19259000;-28148000;-11249000;-25263000;-20708000;-5736000;-13511000;-24003000;-40384000;-24600000;-14527000
Venta de activos tangibles;;1245000;140000;438000;;3427000;;;;;;;;;
Adquisiciones;-4281000;-4882000;-1790000;-500000;-2328000;;-9527000;-2034000;-13500000;;;-55293000;-29000000;;-13000000
Desinversiones;;;;;;;2145000;811000;7223000;2221000;5415000;10669000;4245000;1969000;1093000
Otras actividades de inversión;-526000;-500000;-100000;-5325000;;621000;107000;147000;-162000;2521000;1282000;830000;315000;1616000;2393000
Activos intangibles;;;;-5325000;;;;;;;;;;;
Inv. en valores negociables;-505000;-500000;-100000;;;621000;;;;;;;;;
Otras act. de inversión;-21000;;;;;;107000;147000;-162000;2521000;1282000;830000;315000;1616000;2393000
Flujo de inversión;-16340000;-11035000;-11425000;-21421000;-21587000;-24100000;-18524000;-26339000;-27147000;-994000;-6814000;-67797000;-64824000;-21015000;-24041000
Flujo neto de deuda;-6105000;-8406000;157000;-1448000;5704000;12890000;-681000;11403000;-9413000;-2329000;-10688000;20926000;-4055000;-344000;-9614000
Deuda total emitida;750000;;9498000;7025000;18283000;32049000;12399000;84233000;13511000;6503000;38490000;35820000;11595000;22657000;10888000
Deuda total pagada;-6855000;-8406000;-9341000;-8473000;-12579000;-19159000;-13080000;-72830000;-22924000;-8832000;-49178000;-14894000;-15650000;-23001000;-20502000
Flujo neto de acciones;-3078000;-1052000;-1623000;1976000;-2209000;-6811000;-1099000;0;-2901000;-9484000;-1794000;-15097000;-2223000;-20606000;-11860000
Emisión de acciones comunes;189000;1040000;;3126000;87000;500000;;;;;;;;;
Recompra de acciones comunes;-3267000;-2092000;-1623000;-1150000;-2296000;-7311000;-1099000;;-2901000;-9484000;-1794000;-15097000;-2223000;-20606000;-11860000
Dividendos totales;0;0;0;0;0;-862000;-1170000;-1168000;-1252000;-1286000;-1440000;-1784000;-2146000;-2302000;-2464000
Dividendos comunes;;;;;;-862000;-1170000;-1168000;-1252000;-1286000;-1440000;-1784000;-2146000;-2302000;-2464000
Otras act. de financiación;-2259000;-2110000;-354000;-216000;-216000;-841000;-1025000;-1861000;-90000;-31000;-1174000;-463000;-839000;-290000;-80000
Flujo de financiación;-11442000;-11568000;-1820000;312000;3279000;4376000;-3975000;8374000;-13656000;-13130000;-15096000;3582000;-9263000;-23542000;-24018000
Variación neta de efectivo;-8901000;-4181000;5115000;-674000;-1944000;3307000;-1405000;7804000;-3629000;1508000;20081000;294000;-14957000;11327000;1359000
Efectivo y equiv. - Fin período;9698000;5520000;10638000;9964000;8020000;11327000;9922000;17726000;14097000;15605000;35686000;35980000;21023000;32350000;33709000
Var. capital circulante;-1101000;-5370000;-2495000;-3472000;9235000;5826000;1676000;1629000;-939000;-6883000;5997000;-4082000;-4083000;-5270000;-10302000
FCF apalancado;2753379;13442625;8894683;-332000;-8565500;-14286000;7767375;-1865000;6688875;12395875;15237875;32790125;14249250;20858000;20098875
FCF no apalancado;5289004;15993250;13159808;4426000;-4245875;-9752250;13026875;3796250;12735500;18291750;21171875;39944875;23588000;30674375;29769875
FCF simple;7348000;11524000;8685000;4401000;-2895000;-5117000;9845000;506000;16466000;9896000;28480000;40506000;18746000;31284000;34891000
Ingresos propios;18881000;18422000;18360000;20435000;16364000;23031000;21094000;25769000;37174000;15632000;41991000;64509000;59130000;55884000;49418000
Nº Acciones básicas;9930000;9691000;9518000;9816000;10359000;9941000;9731000;9719000;9657000;9199225;9004744;9383445;9335983;9250245;8822758
Nº Acciones diluidas;9932000;9697000;9615000;10637000;10406000;10229000;9743000;9719000;9657000;9199225;9004744;9383445;9335983;9250245;8822758
