Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Ingresos por int. e inversiones;413328;776414;918060;848917;762000;644000;605000;860000;1463000;976000;185000;63000;516000;1416000;2392000
Otros ingresos y gastos no operativos;14120;-5118;16451;-145267;43000;94000;263000;261000;398000;291000;264000;283000;-10618000;-13057000;-12048000
EBT excluyendo ítems inusuales;5927287;9054069;5315918;5231890;2584000;11171000;11068000;17101000;38219000;38007000;39833000;45685000;47194000;64403000;57701000
Ítems inusuales totales;-73151;0;0;0;0;-454000;0;0;0;-582000;-779000;-448000;-555000;-661000;-407000
Cargos de fusión y reestructuración;;;;;;;;;;-406000;-602000;-973000;-115000;-1363000;-409000
Beneficios o pérdidas por venta de inversiones;;;;;;-454000;;;;;;;;;
Beneficios o pérdidas por venta de activos;;;;;;;;;;;;525000;52000;-23000;2000
Reducción de valor de activos;-73151;;;;;;;;;;;;;;
Otros ítems inusuales;;;;;;;;;;-176000;-177000;;-492000;725000;
EBT incluyendo ítems inusuales;5854136;9054069;5315918;5231890;2584000;10717000;11068000;17101000;38219000;37425000;39054000;45237000;46639000;63742000;57294000
Gastos por impuestos;-921285;-2577553;-2333761;-1981253;-1921000;-3394000;-3471000;-5348000;-11799000;-11542000;-12095000;-14061000;-15070000;-20393000;-17119000
Beneficios de operaciones continuas;4932851;6476516;2982157;3250637;663000;7323000;7597000;11753000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
Beneficios de operaciones descontinuadas;-98396;267009;;;;-2653000;-1957000;374000;;;;;;;
Beneficio neto total;4834455;6743525;2982157;3250637;663000;4670000;5640000;12127000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
Beneficio neto;4834455;6743525;2982157;3250637;663000;4670000;5640000;12127000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
Beneficio neto comunes incl. ítems extra;4834455;6743525;2982157;3250637;663000;4670000;5640000;12127000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
Beneficio neto comunes excl. ítems extra;4932851;6476516;2982157;3250637;663000;7323000;7597000;11753000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
EBITDAR;7176373;10462359;5372352;5595144;2969000;11551000;11390000;17038000;37294000;37456000;41481000;47656000;;;
EBITDA;6468810;9747186;4609609;4829833;1976000;10672000;10431000;16151000;36552000;37352000;41388000;47510000;60433000;79316000;70864000
EBITA;6383090;9580504;4423251;4566344;1779000;10439000;10230000;15995000;36373000;37133000;41219000;47295000;60127000;79013000;70218000
EBIT;5603357;8348084;4382884;4529370;1779000;10439000;10206000;15987000;36365000;36962000;39586000;45468000;58024000;76280000;67555000
Beneficio neto;4834455;6743525;2982157;2784958;663000;4670000;5640000;12127000;26420000;25883000;26959000;31176000;31569000;43349000;40175000
D&A total;865453;1399102;226725;300463;197000;233000;225000;164000;187000;1493000;2884000;3095000;3621000;4307000;4577000
Amortización de intangibles;779733;1232420;40367;36974;;;24000;8000;8000;171000;1633000;1827000;2103000;2733000;2663000
Depreciación y amortización;85720;166682;186358;263489;197000;233000;201000;156000;179000;1322000;1251000;1268000;1518000;1574000;1914000
