Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Beneficio neto comunes incl. ítems extra;120000000;312000000;345000000;473000000;423000000;489000000;636000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
Beneficio neto comunes excl. ítems extra;244000000;334000000;352000000;473000000;423000000;489000000;636000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
EBITDA;834000000;889000000;899000000;934000000;1060000000;1123000000;1172000000;1203000000;1306000000;1328000000;1423000000;1644000000;1700000000;1844000000;1936000000
EBITA;804000000;856000000;868000000;904000000;1028000000;1093000000;1142000000;1178000000;1281000000;1302000000;1398000000;1618000000;1677000000;1820000000;1912000000
EBIT;567000000;577000000;583000000;602000000;683000000;763000000;776000000;838000000;957000000;978000000;1073000000;1283000000;1327000000;1450000000;1528000000
Beneficio neto;120000000;312000000;345000000;473000000;423000000;489000000;636000000;656000000;669000000;721000000;728000000;1027000000;1007000000;1079000000;1308000000
D&A total;267000000;312000000;316000000;332000000;377000000;360000000;396000000;433000000;421000000;423000000;421000000;432000000;440000000;454000000;463000000
Amortización de intangibles;237000000;279000000;285000000;302000000;345000000;330000000;366000000;340000000;324000000;324000000;325000000;335000000;350000000;370000000;384000000
Depreciación y amortización;30000000;33000000;31000000;30000000;32000000;30000000;30000000;93000000;97000000;99000000;96000000;97000000;90000000;84000000;79000000
Otros elementos no monetarios;118000000;-50000000;-12000000;-146000000;25000000;35000000;-97000000;-128000000;39000000;14000000;-7000000;-55000000;0;39000000;-207000000
Venta de activos;7000000;-9000000;-58000000;-12000000;11000000;-11000000;-74000000;-163000000;6000000;-7000000;10000000;-84000000;-4000000;-5000000;-250000000
Beneficios o pérdidas por venta de inversiones;3000000;1000000;8000000;-59000000;4000000;2000000;-4000000;1000000;-7000000;-5000000;7000000;;-3000000;;
Costes de reestructuración;29000000;-55000000;-32000000;-11000000;8000000;-9000000;-2000000;9000000;54000000;19000000;52000000;34000000;5000000;25000000;23000000
Inversiones en acciones;;;1000000;1000000;;-2000000;-4000000;-2000000;-3000000;-6000000;;;-1000000;-2000000;-2000000
Retribución en acciones;16000000;15000000;14000000;22000000;19000000;18000000;23000000;22000000;25000000;24000000;24000000;28000000;31000000;31000000;26000000
Operaciones discontinuadas;-8000000;-28000000;-3000000;;;;;;;;;;;;
Otras actividades operativas;71000000;26000000;58000000;-87000000;-17000000;37000000;-36000000;5000000;-36000000;-11000000;-100000000;-33000000;-28000000;-10000000;-4000000
Variación activos operativos;23000000;16000000;-22000000;4000000;18000000;43000000;5000000;40000000;-27000000;39000000;150000000;178000000;98000000;82000000;104000000
Var. cuentas por cobrar;;;;;;;;-71000000;-88000000;16000000;-94000000;91000000;4000000;-32000000;-115000000
Variación inventario;;;;;;;;-3000000;-2000000;;-3000000;-11000000;-7000000;9000000;8000000
Var. cuentas por pagar;;;;;;;;42000000;-11000000;-50000000;120000000;24000000;21000000;41000000;87000000
Var. ingresos no devengados;;;;;;;;72000000;74000000;73000000;127000000;77000000;80000000;64000000;124000000
Var. otros activos;23000000;16000000;-22000000;4000000;18000000;43000000;5000000;;;;;-3000000;;;
Flujo operativo;528000000;590000000;627000000;663000000;843000000;927000000;940000000;1001000000;1102000000;1197000000;1292000000;1582000000;1545000000;1654000000;1668000000
Gastos de capital (Capex);-143000000;-144000000;-148000000;-148000000;-188000000;-224000000;-210000000;-214000000;-31000000;-238000000;-240000000;-295000000;-324000000;-314000000;-305000000
