Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Flujo operativo;2860000000;4787000000;4835000000;6048000000;5842000000;5606000000;5206000000;5471000000;4961000000;3404000000;7695000000;6119000000;4942000000;3819000000;2262000000
Gastos de capital (Capex);-1050000000;-1060000000;-1561000000;-1499000000;-1440000000;-2243000000;-1547000000;-2105000000;-2694000000;-1947000000;-1959000000;-1890000000;-1531000000;-1839000000;-1878000000
Venta de activos tangibles;71000000;;;;;;;;;;;;;;131000000
Adquisiciones;;;;;;;;-1776000000;;;;;;;
Desinversiones;;;;;;137000000;;37000000;;;;;;689000000;4000000
Otras actividades de inversión;-42000000;47000000;-41000000;-2032000000;394000000;-195000000;-209000000;285000000;1059000000;-2959000000;457000000;-87000000;-246000000;-703000000;-33000000
Inv. en valores negociables;;;;-1688000000;416000000;-18000000;76000000;389000000;702000000;-2891000000;681000000;8000000;;-551000000;-14000000
Préstamos netos (inversión);;;;-350000000;-47000000;11000000;-131000000;;527000000;;;;;;
Otras act. de inversión;-42000000;47000000;-41000000;6000000;25000000;-188000000;-154000000;-104000000;-170000000;-68000000;-224000000;-95000000;-246000000;-152000000;-19000000
Flujo de inversión;-1021000000;-1013000000;-1602000000;-3531000000;-1046000000;-2301000000;-1756000000;-3559000000;-1635000000;-4906000000;-1502000000;-1977000000;-1777000000;-1853000000;-1776000000
Flujo neto de deuda;-2063000000;321000000;1472000000;1254000000;1045000000;989000000;-503000000;416000000;2482000000;3752000000;-4221000000;-4000000;-125000000;-32000000;1498000000
Deuda total emitida;1000000000;3000000000;1472000000;1254000000;1045000000;989000000;990000000;810000000;7531000000;7138000000;;;500000000;744000000;1990000000
Deuda total pagada;-3063000000;-2679000000;;;;;-1493000000;-394000000;-5049000000;-3386000000;-4221000000;-4000000;-625000000;-776000000;-492000000
Flujo neto de acciones;0;0;-1949000000;-5788000000;-4656000000;-2938000000;-866000000;-1854000000;-3752000000;-4000000;-463000000;-420000000;-211000000;-195000000;-201000000
Recompra de acciones comunes;;;-1949000000;-5788000000;-4656000000;-2938000000;-866000000;-1854000000;-3752000000;-4000000;-463000000;-420000000;-211000000;-195000000;-201000000
Dividendos totales;-2893000000;-2415000000;-1127000000;-1403000000;-1410000000;-1395000000;-1415000000;-1554000000;-1462000000;-1405000000;-1486000000;-3246000000;-1610000000;-1720000000;-1764000000
Dividendos comunes;-313000000;-833000000;-1127000000;-1403000000;-1410000000;-1395000000;-1415000000;-1554000000;-1462000000;-1405000000;-1486000000;-1542000000;-1610000000;-1720000000;-1764000000
Dividendos especiales;-2580000000;-1582000000;;;;;;;;;;-1704000000;;;
Otras act. de financiación;-2579000000;-1633000000;15000000;30000000;171000000;-5000000;-75000000;-16000000;-103000000;-72000000;-215000000;-1441000000;-4000000;52000000;-40000000
Flujo de financiación;-4955000000;-2145000000;-1589000000;-5907000000;-4850000000;-3349000000;-2859000000;-3008000000;-2835000000;2271000000;-6385000000;-3407000000;-1950000000;-1895000000;-507000000
Ajustes por tipo de cambio;-41000000;38000000;74000000;-29000000;-48000000;-9000000;59000000;-31000000;-4000000;108000000;-96000000;-56000000;34000000;-88000000;82000000
Variación neta de efectivo;-3157000000;1667000000;1718000000;-3419000000;-102000000;-53000000;650000000;-1127000000;487000000;877000000;-288000000;679000000;1249000000;-17000000;61000000
Efectivo y equiv. - Fin período;1065000000;2732000000;4450000000;1031000000;924000000;875000000;1523000000;332000000;858000000;1763000000;1472000000;2151000000;3390000000;3375000000;3443000000
Var. capital circulante;632000000;-850000000;144000000;-770000000;-125000000;-170000000;553000000;516000000;-591000000;537000000;-442000000;-140000000;-202000000;-713000000;-1048000000
FCF apalancado;1369750000;3354250000;2342625000;3683000000;3405500000;1936875000;2218625000;1734625000;1572250000;-84125000;4114625000;2489000000;2071000000;1792500000;781625000
FCF no apalancado;1961250000;3705625000;2514750000;3883000000;3583250000;2122125000;2510500000;1946875000;1782500000;228000000;4408375000;2658750000;2364500000;2086500000;1079375000
FCF simple;1810000000;3727000000;3274000000;4549000000;4402000000;3363000000;3659000000;3366000000;2267000000;1457000000;5736000000;4229000000;3411000000;1980000000;384000000
Ingresos propios;2860000000;4787000000;4835000000;6048000000;5842000000;5606000000;5206000000;5471000000;4961000000;3404000000;7695000000;6119000000;4942000000;3819000000;2262000000
Nº Acciones básicas;568000000;573000000;566000000;518000000;465000000;419000000;398000000;389000000;353000000;334000000;334000000;327000000;325000000;325000000;318376068
Nº Acciones diluidas;572000000;577000000;570000000;521000000;466000000;420000000;399000000;389000000;353000000;334000000;334000000;328000000;326000000;326000000;318376068
