Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Otras act. de financiación;-48000;-14790000;-10834000;-4212000;-15816000;-2062000;-10076000;-15360000;-11651000;;-5992000;-4881000
Flujo de financiación;-58981000;-28120000;-95322000;-18604000;84942000;1395371000;2329901000;431489000;23325000;-285000;-106785000;383256000
Ajustes por tipo de cambio;-1355000;-3233000;-284000;1141000;-3276000;-110000;5982000;-3443000;-4727000;-1468000;-4649000;4315000
Variación neta de efectivo;-1710000;8338000;-18478000;7033000;144134000;26516000;380438000;-538093000;-29895000;7329000;-12740000;89211000
Efectivo y equiv. - Fin período;;33431000;22834000;48873000;208078000;234303000;621051000;82958000;53063000;60392000;47652000;136863000
Var. capital circulante;;;53411000;-46259000;-29520000;-70903000;-81222000;31796000;71692000;3843000;-57442000;-17782000
FCF apalancado;;;83457500;191495500;215163875;311206500;398114500;334326875;303953375;395507625;507519750;443384250
FCF no apalancado;;;150984500;254702750;267306875;364183500;450143125;391887500;371699750;477979500;586767625;529875250
FCF simple;117243000;106521000;118781000;163327000;188171000;236189000;293680000;273060000;299996000;366155000;411877000;359641000
Ingresos propios;117243000;106521000;118781000;163327000;188171000;236189000;293680000;273060000;299996000;366155000;411877000;359641000
Nº Acciones básicas;69621000;69758000;69890000;70022000;141415000;179598000;203255000;25.905.599.999.999.900;269565000;275773000;284782000;285742000
Nº Acciones diluidas;69621000;69758000;69890000;70022000;144338000;183950000;206940000;25.905.599.999.999.900;269565000;275773000;284782000;285742000
