Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
EBIT;245557000;237458000;271713000;300213000;328226000;376368000;390644000;452523000;497297000;423395000;567151000;515870000;501626000;432431000;291450000
Beneficio neto;323329000;-190057000;150881000;187679000;244863000;237377000;152530000;200802000;461466000;335324000;485374000;363139000;356328000;69675000;-905640000
D&A total;82970000;80468000;92976000;106233000;98893000;117906000;155263000;209980000;214062000;227252000;237362000;230590000;242118000;274601000;177738000
Amortización de intangibles;42634000;44264000;50608000;60926000;62380000;63491000;98766000;149486000;149974000;158685000;165604000;164088000;173974000;197669000;121656000
Depreciación y amortización;40336000;36204000;42368000;45307000;36513000;54415000;56497000;60494000;64088000;68567000;71758000;66502000;68144000;76932000;56082000
Amortización de cargos diferidos;13526000;14416000;14959000;15897000;16941000;10440000;5075000;4734000;4307000;4430000;4493000;4053000;3400000;3415000;4675000
Otros elementos no monetarios;-209049000;297402000;-9587000;-13307000;-56442000;24183000;-24957000;66159000;-125814000;-152880000;-203155000;-14208000;20564000;289870000;1144992000
Venta de activos;582000;-332000;;;-408000;-4367000;;-1388000;-6077000;;-91157000;-6504000;-4448000;;
Beneficios o pérdidas por venta de inversiones;2499000;;;;;;;;;;;;;;
Costes de reestructuración;;332128000;3460000;4900000;9500000;43356000;;19110000;6966000;21388000;6739000;1497000;;247834000;108117000
Retribución en acciones;4532000;8623000;11871000;12227000;14467000;16871000;19407000;22438000;26940000;20739000;22937000;27224000;31465000;31348000;25695000
Operaciones discontinuadas;121000;-7799000;-3327000;-3676000;-2636000;-2110000;-6416000;2292000;2457000;-737000;-720000;804000;-1045000;-2521000;243995000
Otras actividades operativas;-216783000;-35218000;-21591000;-26758000;-77365000;-29567000;-37948000;23707000;-156100000;-194270000;-140954000;-37229000;-5408000;13209000;767185000
Variación activos operativos;-116298000;-15410000;-21257000;-9937000;-3445000;18574000;131974000;-44297000;-114496000;22280000;127345000;-239964000;-111772000;-1822000;-81088000
Var. cuentas por cobrar;-43561000;-2932000;-1294000;9394000;398000;-11029000;-11039000;-23412000;-59793000;44748000;-600000;-38459000;-15763000;-27952000;-85533000
Variación inventario;-33819000;-1970000;-8931000;-15531000;-8371000;6408000;-22363000;-37198000;-53170000;-5497000;-11138000;-110686000;-41068000;1925000;84041000
Var. cuentas por pagar;-1636000;155000;2001000;9818000;-117000;15422000;39001000;62404000;36021000;646000;94020000;-24786000;-31258000;9665000;-8284000
Variación impuestos;-28809000;-20258000;-7107000;-15040000;7672000;11386000;125828000;-35740000;-6531000;-13294000;73473000;-79453000;-12263000;-28486000;-35727000
Var. otros activos;-8473000;9595000;-5926000;1422000;-3027000;-3613000;547000;-10351000;-31023000;-4323000;-28410000;13420000;-11420000;43026000;-35585000
Flujo operativo;94478000;186819000;227972000;286565000;300810000;408480000;419885000;437378000;439525000;436406000;651419000;343610000;510638000;635739000;340677000
Gastos de capital (Capex);-44582000;-65394000;-63580000;-67571000;-61448000;-53135000;-70903000;-80795000;-102695000;-90694000;-71618000;-79190000;-91442000;-126434000;-95236000
Venta de activos tangibles;;;;;;;6332000;;;;;;;;
Adquisiciones;-24623000;-369444000;-309008000;-45777000;-93808000;-14040000;-1768284000;-121025000;-3462000;-767830000;-4590000;-198429000;-603920000;-120000;-831857000
Desinversiones;376025000;66660000;;5251000;408000;10201000;;3878000;14345000;1400000;224909000;12434000;15000000;;6712000
Otras actividades de inversión;-3025000;-2431000;-50000;-40000;;;;1548000;18331000;19341000;8036000;5775000;59134000;27196000;71190000
Inv. en valores negociables;-150000;-80000;-50000;-40000;;;;;;;-11118000;-15000000;-4000000;0;-5000000
Otras act. de inversión;-2875000;-2351000;;;;;;1548000;18331000;19341000;19154000;20775000;63134000;27196000;76190000
Flujo de inversión;303795000;-370609000;-372638000;-108137000;-154848000;-56974000;-1832855000;-196394000;-73481000;-837783000;156737000;-259410000;-621228000;-99358000;-849191000
Flujo neto de deuda;34486000;-706000;305000000;-230102000;-15657000;-42865000;1223924000;-93500000;-253500000;575000000;-634500000;-140250000;101250000;-161500000;987000000
Deuda total emitida;515000000;;680000000;250000000;288100000;671700000;2463500000;35000000;275000000;1513807000;400000000;744250000;646000000;130000000;1140000000
Deuda total pagada;-480514000;-706000;-375000000;-480102000;-303757000;-714565000;-1239576000;-128500000;-528500000;-938807000;-1034500000;-884500000;-544750000;-291500000;-153000000
Flujo neto de acciones;34009000;8238000;6181000;4245000;4994000;9068000;5571000;22655000;21206000;18994000;23548000;-4308000;5190000;-196648000;-294727000
Emisión de acciones comunes;34009000;8238000;6181000;4245000;4994000;9068000;5571000;22655000;21206000;18994000;23548000;;5190000;3352000;7167000
Recompra de acciones comunes;;;;;;;;;;;;-4308000;;-200000000;-301894000
Dividendos totales;-55136000;-55589000;-55917000;-56258000;-56532000;-58960000;-61237000;-62165000;-62828000;-63221000;-63648000;-63789000;-63896000;-63541000;-60268000
Dividendos comunes;-55136000;-55589000;-55917000;-56258000;-56532000;-58960000;-61237000;-62165000;-62828000;-63221000;-63648000;-63789000;-63896000;-63541000;-60268000
Otras act. de financiación;-24465000;-17596000;-24094000;-5588000;-18388000;-25935000;-26999000;-73423000;-123714000;-75610000;-41222000;-9159000;-4004000;-236000;-20466000
Flujo de financiación;-11106000;-65653000;231170000;-287703000;-85583000;-118692000;1141259000;-206433000;-418836000;455163000;-715822000;-217506000;38540000;-421925000;611539000
Ajustes por tipo de cambio;-11531000;2394000;8441000;-19473000;-25249000;-27391000;61480000;-10948000;-3286000;21011000;-23130000;-19744000;2864000;-9654000;23174000
Otros ajustes;;;;;;;;;;;;;;;-51168000
Variación neta de efectivo;375636000;-247049000;94945000;-128748000;35130000;205423000;-210231000;23603000;-56078000;74797000;69204000;-153050000;-69186000;104802000;75031000
Efectivo y equiv. - Fin período;584088000;337039000;431984000;303236000;338366000;543789000;333558000;357161000;301083000;375880000;445084000;292034000;222848000;290188000;378564000
Var. capital circulante;19414000;35436000;24154000;-61433000;-9601000;-23674000;2969000;-29549000;123019000;118090000;-195231000;181584000;72020000;-34969000;219563000
FCF apalancado;146557000;107610125;166327000;274940875;245268375;316647875;298434250;404345375;280236875;266700125;707268750;289596750;373861000;435953375;12825875
FCF no apalancado;176979125;136672250;186933625;299955125;266654250;340546000;344950500;463998875;326098625;303828875;738381375;319458750;423637250;484753375;70790250
FCF simple;49896000;121425000;164392000;218994000;239362000;355345000;348982000;356583000;336830000;345712000;579801000;264420000;419196000;509305000;245441000
Ingresos propios;94478000;186819000;227972000;286565000;300810000;408480000;419885000;437378000;439525000;436406000;651419000;343610000;510638000;635739000;340677000
Nº Acciones básicas;40501000;40859000;41105000;41366000;41558000;43325000;45004000;45689000;46200000;46488000;46774000;46898000;46981000;46837000;44622000
Nº Acciones diluidas;40801000;40859000;43693000;46470000;48058000;47646000;46664000;46801000;47090000;47287000;47427000;47309000;47304000;47094000;44724000
