Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;29/05/2011;27/05/2012;26/05/2013;25/05/2014;31/05/2015;29/05/2016;28/05/2017;27/05/2018;26/05/2019;31/05/2020;30/05/2021;29/05/2022;28/05/2023;26/05/2024;25/05/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Gastos operativos totales;-3192000000;-3380700000;-3540300000;-3474300000;-3312000000;-3118900000;-2814500000;-2760700000;-2847900000;-3038800000;-2946700000;-3033600000;-3405700000;-3183000000;-3377500000
Gastos en VG&A;-3192000000;-3380700000;-3540300000;-3474300000;-3312000000;-3118900000;-2814500000;-2760700000;-2847900000;-3038800000;-2946700000;-3033600000;-3405700000;-3183000000;-3377500000
Beneficio operativo;2761500000;2664000000;2900600000;2895500000;2710000000;2846500000;2838700000;2700200000;2920100000;3118400000;3503900000;3371900000;3147300000;3768700000;3365200000
Gastos no operativos totales;-249900000;-263700000;-218100000;-212800000;-231100000;-215400000;-210100000;-295600000;-452400000;-375400000;-302600000;-267900000;-300800000;-394400000;-466600000
Gastos por intereses;-353700000;-361800000;-329500000;-318500000;-328600000;-311900000;-302100000;-385400000;-527400000;-472500000;-427700000;-383400000;-396100000;-498000000;-548800000
Ingresos por int. e inversiones;7400000;9900000;12600000;16100000;13200000;8100000;7000000;5100000;3000000;6000000;7400000;3800000;14000000;18800000;24600000
Otros ingresos y gastos no operativos;96400000;88200000;98800000;89600000;84300000;88400000;85000000;84700000;72000000;91100000;117700000;111700000;81300000;84800000;57600000
EBT excluyendo ítems inusuales;2511600000;2400300000;2682500000;2682700000;2478900000;2631100000;2628600000;2404600000;2467700000;2743000000;3201300000;3104000000;2846500000;3374300000;2898600000
Ítems inusuales totales;13000000;-101600000;-48800000;61900000;-632700000;-139100000;-272300000;-184300000;-313700000;-51700000;-226200000;217300000;375300000;-261200000;-6000000
Cargos de fusión y reestructuración;-4400000;-101600000;-31800000;-3600000;-632700000;-287300000;-265800000;-94000000;-78900000;-51700000;-172700000;23200000;-69300000;-144100000;-101900000
Det. de fondo de comercio;;;;;;;;;;;;;;-117100000;
Beneficios o pérdidas por venta de inversiones;;;;;;;;6600000;2600000;;;;;;
Beneficios o pérdidas por venta de activos;17400000;;;65500000;;148200000;-6500000;;-30000000;;-53500000;194100000;444600000;;95900000
Reducción de valor de activos;;;;;;;;-96900000;-207400000;;;;;;
Otros ítems inusuales;;;-17000000;;;;;;;;;;;;
EBT incluyendo ítems inusuales;2524600000;2298700000;2633700000;2744600000;1846200000;2492000000;2356300000;2220300000;2154000000;2691300000;2975100000;3321300000;3221800000;3113100000;2892600000
Gastos por impuestos;-721100000;-709600000;-741200000;-883300000;-586800000;-755200000;-655200000;-57300000;-367800000;-480500000;-629100000;-586300000;-612200000;-594500000;-573700000
Beneficios de operaciones continuas;1803500000;1589100000;1892500000;1861300000;1259400000;1736800000;1701100000;2163000000;1786200000;2210800000;2346000000;2735000000;2609600000;2518600000;2318900000
Beneficio neto total;1803500000;1589100000;1892500000;1861300000;1259400000;1736800000;1701100000;2163000000;1786200000;2210800000;2346000000;2735000000;2609600000;2518600000;2318900000
Beneficio intereses minoritarios;-5200000;-21800000;-37300000;-36900000;-38100000;-39400000;-43600000;-32000000;-33500000;-29600000;-6200000;-27700000;-15700000;-22000000;-23700000
Beneficio neto;1798300000;1567300000;1855200000;1824400000;1221300000;1697400000;1657500000;2131000000;1752700000;2181200000;2339800000;2707300000;2593900000;2496600000;2295200000
Dividendos preferentes y ajustes;;;;;;;;;;;;;;;10500000
Beneficio neto comunes incl. ítems extra;1798300000;1567300000;1855200000;1824400000;1221300000;1697400000;1657500000;2131000000;1752700000;2181200000;2339800000;2707300000;2593900000;2496600000;2284700000
Beneficio neto comunes excl. ítems extra;1798300000;1567300000;1855200000;1824400000;1221300000;1697400000;1657500000;2131000000;1752700000;2181200000;2339800000;2707300000;2593900000;2496600000;2284700000
EBITDAR;3386500000;3381000000;3676500000;3669900000;3438700000;3567200000;3630400000;3508400000;3725100000;3784300000;4283100000;4109500000;3857600000;4491400000;4090000000
EBITDA;3234100000;3205500000;3488600000;3480900000;3245200000;3378100000;3442300000;3319000000;3540200000;3713100000;4105200000;3942200000;3693900000;4321400000;3904200000
EBITA;2761500000;2664000000;2900600000;2895500000;2710000000;2846500000;2838700000;2700200000;2920100000;3118400000;3503900000;3371900000;3147300000;3768700000;3365200000
EBIT;2761500000;2664000000;2900600000;2895500000;2710000000;2846500000;2838700000;2700200000;2920100000;3118400000;3503900000;3371900000;3147300000;3768700000;3365200000
Beneficio neto;1798300000;1567300000;1855200000;1824400000;1221300000;1697400000;1657500000;2131000000;1752700000;2181200000;2339800000;2707300000;2593900000;2496600000;2295200000
D&A total;472600000;541500000;588000000;585400000;535200000;531600000;603600000;618800000;620100000;594700000;601300000;570300000;546600000;552700000;539000000
Depreciación y amortización;472600000;541500000;588000000;585400000;535200000;531600000;603600000;618800000;620100000;594700000;601300000;570300000;546600000;552700000;539000000
Otros elementos no monetarios;-18900000;54600000;11700000;163400000;571600000;236700000;348300000;-450900000;441700000;106400000;198000000;-238900000;-313000000;242700000;-108400000
Venta de activos;-17400000;;;-65500000;;-148200000;13500000;;30000000;;53500000;-194100000;-444600000;;-95900000
Costes de reestructuración;-1300000;97800000;-60200000;-18800000;584200000;183700000;117000000;126000000;235700000;43600000;150900000;-117100000;24400000;223500000;74300000
Inversiones en acciones;-96400000;-88200000;-98800000;-89600000;-84300000;-88400000;-85000000;-84700000;14700000;-91100000;-117700000;-111700000;-81300000;-84800000;-57600000
Retribución en acciones;105300000;108300000;100400000;108500000;106400000;89800000;95700000;77000000;84900000;94900000;89900000;98700000;111700000;95300000;91700000
Beneficio fiscal retrib. acciones;-106200000;-63100000;-103000000;-69300000;-74600000;;;;;;;;;;
Otras actividades operativas;97100000;-200000;173300000;298100000;39900000;199800000;207100000;-569200000;76400000;59000000;21400000;85300000;76800000;8700000;-120900000
Variación activos operativos;-720900000;243800000;471100000;-32200000;214700000;298500000;-194200000;542100000;-7500000;793900000;-155900000;277400000;-48900000;10600000;192400000
Var. cuentas por cobrar;-69800000;-24200000;-44600000;-41000000;6800000;-6900000;-69200000;-122700000;-42700000;37900000;27900000;-166300000;-41200000;-1800000;-79000000
Variación inventario;-240000000;144500000;18700000;-88300000;-24200000;-146100000;-61500000;15600000;53700000;103100000;-354700000;-85800000;-319000000;287600000;-18500000
Var. cuentas por pagar;109000000;12100000;263600000;191500000;145800000;318700000;99500000;575300000;162400000;392500000;343100000;456700000;199800000;-251200000;86700000
Var. otros activos;-520100000;111400000;233400000;-94400000;86300000;132800000;-163000000;73900000;-180900000;260400000;-172200000;72800000;111500000;-24000000;203200000
Flujo operativo;1531100000;2407200000;2926000000;2541000000;2542800000;2764200000;2415200000;2841000000;2807000000;3676200000;2983200000;3316100000;2778600000;3302600000;2918200000
Gastos de capital (Capex);-648800000;-675900000;-613900000;-663500000;-712400000;-729300000;-684400000;-622700000;-537600000;-460800000;-530800000;-568700000;-689500000;-774100000;-625300000
Venta de activos tangibles;4100000;2200000;24200000;6600000;11000000;4400000;4200000;1400000;14300000;1700000;2700000;3300000;1300000;800000;1100000
Adquisiciones;-123300000;-1050100000;-898000000;;-822300000;-84000000;;-8035800000;;;;-1201300000;-251500000;-451900000;-1419300000
Desinversiones;34400000;;;121600000;;828500000;17500000;;26400000;;2900000;74100000;633100000;;241800000
Otras actividades de inversión;18500000;-147000000;-27700000;-26500000;-78500000;73800000;15800000;-28300000;-59600000;-27100000;12400000;1900000;-39800000;27800000;6800000
Inv. en valores negociables;-1800000;-22200000;-40400000;-54900000;-102400000;63900000;3300000;-17300000;100000;-48000000;15500000;15400000;-32200000;-2700000;13300000
Otras act. de inversión;20300000;-124800000;12700000;28400000;23900000;9900000;12500000;-11000000;-59700000;20900000;-3100000;-13500000;-7600000;30500000;-6500000
Flujo de inversión;-715100000;-1870800000;-1515400000;-561800000;-1602200000;93400000;-646900000;-8685400000;-556500000;-486200000;-512800000;-1690700000;-346400000;-1197400000;-1794900000
Flujo neto de deuda;450000000;168300000;414300000;801100000;597600000;-781700000;1034500000;6277400000;-1221000000;-917200000;-960800000;-385800000;133400000;1143200000;1722000000
Deuda total emitida;1200000000;1618400000;1001100000;2245900000;2253200000;542500000;2034500000;6877500000;339100000;1638100000;1648200000;2755100000;2324400000;2065200000;3022000000
Deuda total pagada;-750000000;-1450100000;-586800000;-1444800000;-1655600000;-1324200000;-1000000000;-600100000;-1560100000;-2555300000;-2609000000;-3140900000;-2191000000;-922000000;-1300000000
Flujo neto de acciones;-753100000;-79500000;-744100000;-1637200000;-998200000;-434800000;-1538900000;497700000;240300000;260000000;-227100000;-715100000;-1171300000;-1976900000;-1412700000
Emisión de acciones comunes;410400000;233500000;300800000;108100000;163700000;171900000;112600000;1099300000;241400000;263400000;74300000;161700000;232300000;25500000;43000000
Recompra de acciones comunes;-1163500000;-313000000;-1044900000;-1745300000;-1161900000;-606700000;-1651500000;-601600000;-1100000;-3400000;-301400000;-876800000;-1403600000;-2002400000;-1455700000
Dividendos totales;-729400000;-800100000;-867600000;-983300000;-1017700000;-1071700000;-1135100000;-1139700000;-1181700000;-1195800000;-1246400000;-1244500000;-1287900000;-1363400000;-1338700000
Dividendos comunes;-729400000;-800100000;-867600000;-983300000;-1017700000;-1071700000;-1135100000;-1139700000;-1181700000;-1195800000;-1246400000;-1244500000;-1287900000;-1363400000;-1338700000
Otras act. de financiación;91600000;44700000;57200000;-4700000;33500000;-131800000;-107900000;-189900000;-14000000;-88500000;-281200000;-157800000;-78300000;-75200000;-150700000
Flujo de financiación;-940900000;-666600000;-1140200000;-1824100000;-1384800000;-2420000000;-1747400000;5445500000;-2176400000;-1941500000;-2715500000;-2503200000;-2404100000;-2272300000;-1180100000
Ajustes por tipo de cambio;71300000;-18200000;-200000;-29200000;-88900000;-8100000;-18500000;31800000;-23100000;-20700000;72500000;-58000000;-12000000;-400000;2700000
Variación neta de efectivo;-53600000;-148400000;270200000;125900000;-533100000;429500000;2400000;-367100000;51000000;1227800000;-172600000;-935800000;16100000;-167500000;-54100000
Efectivo y equiv. - Fin período;619600000;471200000;741400000;867300000;334200000;763700000;766100000;399000000;450000000;1677800000;1505200000;569400000;585500000;418000000;363900000
Var. capital circulante;770700000;-321100000;-338100000;158400000;-387500000;-545500000;271300000;-270600000;-18100000;-850100000;-104700000;283200000;-62300000;77200000;517300000
FCF apalancado;725975000;1773775000;2065537500;1499325000;1813375000;2023525000;1329175000;1791350000;1680937500;2732587500;2187725000;1684912500;1750600000;1840887500;1248350000
FCF no apalancado;947037500;1999900000;2271475000;1698387500;2018750000;2218462500;1517987500;2032225000;2010562500;3027900000;2455037500;1924537500;1998162500;2152137500;1591350000
FCF simple;882300000;1731300000;2312100000;1877500000;1830400000;2034900000;1730800000;2218300000;2269400000;3215400000;2452400000;2747400000;2089100000;2528500000;2292900000
Ingresos propios;1531100000;2407200000;2926000000;2541000000;2542800000;2764200000;2415200000;2841000000;2807000000;3676200000;2983200000;3316100000;2778600000;3302600000;2918200000
Nº Acciones básicas;642700000;648100000;648600000;628600000;603300000;598900000;587100000;576800000;600400000;608100000;614100000;607500000;594800000;575500000;554500000
Nº Acciones diluidas;664800000;666700000;665600000;645700000;618800000;611900000;598000000;585700000;605400000;613300000;619100000;612600000;601200000;579500000;557500000
