Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Beneficios de operaciones descontinuadas;;;;;;;-150700000;-77100000;3200000;10800000;123600000;;-48000000;;
Beneficio neto total;360900000;440900000;446900000;253000000;604000000;72400000;-187900000;483000000;476500000;615900000;730300000;513000000;276000000;406000000;303000000
Beneficio neto;360900000;440900000;446900000;253000000;604000000;72400000;-187900000;483000000;476500000;615900000;730300000;513000000;276000000;406000000;303000000
Beneficio neto comunes incl. ítems extra;360900000;440900000;446900000;253000000;604000000;72400000;-187900000;483000000;476500000;615900000;730300000;513000000;276000000;406000000;303000000
Beneficio neto comunes excl. ítems extra;360900000;440900000;446900000;253000000;604000000;72400000;-37200000;560100000;473300000;605100000;606700000;513000000;324000000;406000000;303000000
EBITDAR;816600000;1051600000;1264600000;;;;;;;1464800000;1470600000;1434000000;1358000000;1585000000;1564000000
EBITDA;797300000;1032700000;1228400000;1328000000;1478000000;1431700000;1492000000;1490800000;1392100000;1458600000;1463100000;1425000000;1352000000;1577000000;1553000000
EBITA;357900000;587100000;738700000;835000000;966000000;881300000;940800000;985800000;875200000;927800000;928000000;875000000;730000000;922000000;881000000
EBIT;356600000;585300000;737300000;834000000;965000000;880600000;924700000;965300000;875200000;927800000;928000000;875000000;730000000;922000000;881000000
Beneficio neto;360900000;440900000;446900000;253000000;604000000;72400000;-187900000;483000000;476500000;615900000;730300000;513000000;276000000;406000000;303000000
D&A total;440700000;447400000;491100000;494000000;513000000;551100000;567300000;525500000;516900000;530800000;547800000;563000000;637000000;679000000;701000000
Amortización de intangibles;1300000;1800000;1400000;1000000;1000000;700000;16100000;20500000;;;;;;;
Depreciación y amortización;439400000;445600000;489700000;493000000;512000000;550400000;551200000;505000000;516900000;530800000;547800000;563000000;637000000;679000000;701000000
Amortización de cargos diferidos;16500000;16300000;23600000;25000000;26000000;20100000;8000000;2900000;29200000;31600000;35500000;33000000;35000000;28000000;31000000
Otros elementos no monetarios;-43300000;-79900000;-27100000;401000000;99000000;685700000;980200000;295500000;139200000;53500000;-10300000;112000000;346000000;350000000;430000000
Venta de activos;2100000;-16200000;-11800000;-10000000;-47000000;2700000;6000000;4700000;2800000;-104300000;-16500000;-23000000;4000000;3000000;9000000
Beneficios o pérdidas por venta de inversiones;500000;700000;;;;225900000;;;;;;;;;
Costes de reestructuración;2200000;;;302000000;20000000;301700000;678300000;70000000;24900000;5700000;3100000;2000000;13000000;1000000;59000000
Inversiones en acciones;;;-5400000;-7000000;-14000000;-13300000;100000;-800000;-100000;100000;-300000;;-1000000;-1000000;-1000000
Retribución en acciones;12000000;7200000;12300000;14000000;17000000;25100000;6600000;3900000;-7200000;5800000;4900000;9000000;7000000;6000000;7000000
Beneficio fiscal retrib. acciones;;;;;;600000;;;;;;;;;
Operaciones discontinuadas;;;;;;;-34800000;-25100000;-25400000;9900000;-23000000;;48000000;;
Otras actividades operativas;-60100000;-71600000;-22200000;102000000;123000000;143000000;324000000;242800000;144200000;136300000;21500000;124000000;275000000;341000000;356000000
Variación activos operativos;-189700000;99700000;-28200000;18000000;274000000;-111100000;-129200000;-24300000;128500000;15600000;-49300000;99000000;-231000000;153000000;-4000000
Var. cuentas por cobrar;67600000;-75400000;-30900000;-35000000;60000000;26400000;16800000;-90400000;49500000;25900000;-20200000;51000000;-123000000;31000000;-20000000
Variación inventario;-9500000;-29100000;-6600000;-26000000;30000000;7400000;28900000;-2800000;-13100000;-26200000;-12200000;-45000000;-22000000;-21000000;-46000000
Var. cuentas por pagar;-29600000;36200000;-40100000;113000000;-82000000;-27400000;22000000;-17900000;87200000;-77300000;-25500000;37000000;15000000;36000000;-12000000
Variación impuestos;;;68200000;-116000000;123000000;4000000;-79400000;40300000;-31200000;39900000;-91800000;77000000;-171000000;101000000;54000000
Var. impuestos diferidos;;;44700000;84000000;119000000;-15400000;-112400000;90700000;94700000;74400000;75700000;60000000;126000000;50000000;30000000
Var. otros activos;-218200000;168000000;-63500000;-2000000;24000000;-106100000;-5100000;-44200000;-58600000;-21100000;24700000;-81000000;-56000000;-44000000;-10000000
Flujo operativo;585100000;924400000;906300000;1191000000;1516000000;1218200000;1238400000;1282600000;1290300000;1247400000;1254000000;1320000000;1063000000;1616000000;1461000000
Gastos de capital (Capex);-1352000000;-1156300000;-929600000;-860000000;-1041000000;-703200000;-446600000;-470500000;-411700000;-496200000;-500300000;-537000000;-747000000;-803000000;-684000000
Venta de activos tangibles;21300000;45800000;48900000;37000000;170000000;37400000;13100000;19000000;13000000;15800000;38500000;39000000;6000000;6000000;15000000
Adquisiciones;-12300000;;;;;;;;;-24500000;-63500000;-17000000;-1434000000;;-25000000
Desinversiones;2100000;;;;;;;;;165300000;10000000;;;;
Otras actividades de inversión;-500000;-41200000;-10200000;-41000000;-290000000;-74100000;2300000;23600000;-21000000;-31700000;151000000;-13000000;-676000000;103000000;-13000000
Activos intangibles;;;-13900000;-45000000;-70000000;-79800000;-61300000;-31000000;-32800000;-32100000;-18200000;-14000000;-15000000;-22000000;-13000000
Inv. en valores negociables;-500000;-41200000;3700000;4000000;-220000000;5700000;98300000;;700000;;400000;1000000;1000000;;
Otras act. de inversión;;;;;;;-34700000;54600000;11100000;400000;168800000;;-662000000;125000000;
Flujo de inversión;-1341400000;-1151700000;-890900000;-864000000;-1161000000;-739900000;-431200000;-427900000;-419700000;-371300000;-364300000;-528000000;-2851000000;-694000000;-707000000
Flujo neto de deuda;952100000;390000000;1305000000;345000000;107000000;450200000;-54900000;16000000;-251000000;201400000;225200000;-181000000;1830000000;-284000000;208000000
Deuda total emitida;1423300000;390000000;3720000000;845000000;1142000000;1278200000;422100000;291000000;139000000;702000000;1130600000;60000000;2210000000;1437000000;1217000000
Deuda total pagada;-471200000;;-2415000000;-500000000;-1035000000;-828000000;-477000000;-275000000;-390000000;-500600000;-905400000;-241000000;-380000000;-1721000000;-1009000000
Flujo neto de acciones;0;0;-1055700000;-24000000;-81000000;-355400000;-7500000;-302500000;-600000;-403200000;-305700000;0;-7000000;-4000000;-301000000
Recompra de acciones comunes;;;-1055700000;-24000000;-81000000;-355400000;-7500000;-302500000;-600000;-403200000;-305700000;;-7000000;-4000000;-301000000
Dividendos totales;-86400000;-180600000;-199900000;-346000000;-396000000;-529300000;-551900000;-462100000;-487600000;-513800000;-528800000;-459000000;-329000000;-326000000;-297000000
Dividendos comunes;;-180600000;-199900000;-346000000;-396000000;-529300000;-551900000;-462100000;-487600000;-513800000;-528800000;-459000000;-329000000;-326000000;-297000000
Dividendos especiales;-86400000;;;;;;;;;;;;;;
Otras act. de financiación;-86400000;;-56000000;-92000000;-132000000;-146000000;-173400000;-160000000;-141400000;-156300000;-161000000;-128000000;214000000;-352000000;-349000000
Flujo de financiación;865700000;209400000;-6600000;-117000000;-502000000;-580500000;-787700000;-908600000;-880600000;-871900000;-770300000;-768000000;1708000000;-966000000;-739000000
Ajustes por tipo de cambio;;;;;;;;;400000;-100000;100000;-1000000;;1000000;
Variación neta de efectivo;109400000;-17900000;8800000;210000000;-147000000;-102200000;19500000;-53900000;-9600000;4100000;119500000;23000000;-80000000;-43000000;15000000
Efectivo y equiv. - Fin período;117100000;98800000;107600000;318000000;171000000;69200000;88700000;34800000;25200000;29300000;148800000;172000000;92000000;49000000;64000000
Var. capital circulante;-393200000;39600000;30700000;99700000;-226000000;150600000;-93100000;47600000;-108200000;7300000;99800000;-73000000;428000000;-269000000;20000000
FCF apalancado;-355350000;-384687500;-49637500;-26075000;183500000;118295500;633559000;486248500;652912500;514262500;452775000;590125000;-196000000;517625000;352000000
FCF no apalancado;-266725000;-357687500;-4787500;29550000;254125000;203208000;736996500;583598500;746100000;608775000;545700000;669875000;-60750000;733250000;572625000
FCF simple;-766900000;-231900000;-23300000;331000000;475000000;515000000;791800000;812100000;878600000;751200000;753700000;783000000;316000000;813000000;777000000
Ingresos propios;585100000;924400000;906300000;1191000000;1516000000;1218200000;1238400000;1282600000;1290300000;1247400000;1254000000;1320000000;1063000000;1616000000;1461000000
Nº Acciones básicas;2339726000;2440000000;2257248000;21.372.849.999.999.900;21.294.140.000.000.000;20.882.130.000.000.000;2051745000;2013362000;1990128000;1952895000;1868553000;1840605000;1840704000;1840704000;1788594000
Nº Acciones diluidas;2339726000;2440000000;2263723000;2141904000;21.386.689.999.999.900;20.914.340.000.000.000;2052241000;2015227000;1991695000;1955813000;1870462000;1844597000;1844498000;1843112000;1791033000
